session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
230,14,2,0.8003297788448642,0.24387794246683453,0.25328943263722026,4e-06,1,0.2400376997959745,1.5933235065985705,0,0.5384615384615384
231,15,2,0.9088805826596054,0.5044952724196184,0.0623351575404789,4e-06,0,7.740855126994316e-06,1.8049168253613133,1,0.358974358974359
232,16,2,0.8677890727278093,0.4953894468691395,0.19362150544372375,4e-06,0,9.826728092232168e-06,1.7938846933524506,1,0.5128205128205128
233,17,2,0.824225315191479,0.4981924446079614,0.21784112343129342,4e-06,0,9.165005486670518e-06,1.7972824283876174,1,0.1794871794871795
234,18,2,0.99,0.09767931460537438,0.04409342903888272,4e-06,1,0.3917151548150568,1.4872299084627065,0,0.6666666666666666
235,19,2,0.8862882296111388,0.07261366039843518,0.15680358138327405,4e-06,1,0.25773188596754604,1.1848141025905141,0,0.5641025641025641
236,20,2,0.99,0.08240244744787298,0.2930590046993632,4e-06,1,0.2635967133718713,1.5179010614591777,0,0.46153846153846156
237,21,2,0.967303778069046,0.2518574945103988,0.05331187176836656,4e-06,0,0.0,1.4757796236748912,1,0.46153846153846156
238,22,2,0.8940756136080459,0.20369124392433755,0.1695973464984368,4e-06,1,0.25874142444223547,1.7494527561323259,0,0.6153846153846154
239,23,2,0.9503402250689261,0.2738479675874688,0.25541091829079193,4e-06,0,0.0,1.5086562633225853,1,0.38461538461538464
240,24,2,0.99,0.547375565089449,0.06483669965968561,4e-06,0,9.543585490290726e-06,1.8566899331786741,1,0.38461538461538464
241,25,2,0.99,0.5184229753133787,0.16795041141224648,4e-06,0,4.9308523305436556e-06,1.8217614914464324,1,0.358974358974359
242,26,2,0.9061064930181182,0.5210216947057875,0.2093255808662034,4e-06,0,4.4606277308551235e-06,1.82490098455342,1,0.6153846153846154
243,0,3,0.7336088065077678,0.14462194869057587,0.04184976848938124,4e-06,1,0.2427330755493797,1.5367173017667444,0,0.6923076923076923
244,1,3,0.6903825121171863,0.10306093891721724,0.1523696614902003,4e-06,1,0.09685316743992249,1.2756808729995202,0,0.48717948717948717
245,2,3,0.714081378872117,0.07034118551696182,0.26350951834131436,4e-06,1,0.09143340263354212,1.604251576020958,0,0.717948717948718
246,3,3,0.6700074664686193,0.24292511913475442,0.04447472760454335,4e-06,1,0.26802920919873446,1.6488289814731427,0,0.6923076923076923
247,4,3,0.6960621599076847,0.24268311669467987,0.08707647127169575,4e-06,0,2.604322694345994e-06,1.3598367489037102,1,0.2564102564102564
248,5,3,0.6894770630217458,0.2294244197147007,0.2914512278013339,4e-06,1,0.15692713192645788,1.4647443905869084,0,0.38461538461538464
249,6,3,0.7024681853620147,0.5011168350926473,0.047336106568624976,4e-06,0,0.0,1.6978476898039663,1,0.5128205128205128
250,7,3,0.7687518001219943,0.43041167819746345,0.08995362766683963,4e-06,1,0.3438816688270344,1.858379291952274,1,0.5897435897435898
251,8,3,0.7276041769905605,0.5141926159408242,0.2384726226135829,4e-06,1,0.23403887599972076,2.048403236325188,1,0.5128205128205128
252,9,3,0.8912078161261092,0.10552173493814697,0.07887972717460524,4e-06,1,0.22019796531824493,1.5304186675127749,0,0.38461538461538464
253,10,3,0.8779126735600001,0.10331839367736034,0.1500401954026346,4e-06,0,2.663863262072627e-06,1.154972061665048,1,0.6410256410256411
254,11,3,0.7519651148583966,0.05746947489521292,0.2143878872087689,4e-06,1,0.11077320576300037,1.15654721861235,0,0.6923076923076923
255,12,3,0.7897069740890781,0.22044525903067522,0.0241747496442929,4e-06,0,7.502813234535396e-07,1.3281132577615526,1,0.5128205128205128
256,13,3,0.9220696779098858,0.23764751746946053,0.13909250129079603,4e-06,1,0.2501879470929592,1.3918940650133378,0,0.8461538461538461
257,14,3,0.845324792543659,0.22006444050267923,0.2474544840501397,4e-06,0,7.546329456733942e-07,1.327565713991426,1,0.5641025641025641
258,15,3,0.8195210216675897,0.5044588128590849,0.060986287933518124,4e-06,0,2.068864123864048e-06,1.7019841176848918,1,0.358974358974359
259,16,3,0.8841874292054225,0.47599364910194447,0.16898573743821918,4e-06,1,0.3338310136419083,1.755477428907394,1,0.48717948717948717
260,17,3,0.7949445000368821,0.4905140688625644,0.26096091226191304,4e-06,1,0.23284703654368108,1.9902302259786566,1,0.15384615384615385
261,18,3,0.99,0.13022532312959678,0.042300376508007415,4e-06,1,0.24333252121520915,1.4916525824605562,0,0.6666666666666666
262,19,3,0.99,0.15881453802349083,0.11316000357532507,4e-06,0,0.0,1.2378951074425677,1,0.5897435897435898
263,20,3,0.9076687579664945,0.06032376600124964,0.2354141760790286,4e-06,1,0.12973616690512596,1.295418021306712,0,0.46153846153846156
264,21,3,0.9459041317355561,0.23048309138783224,0.029773626148264735,4e-06,1,0.2364380027792884,1.6058818631337444,0,0.4358974358974359
265,22,3,0.99,0.2589253321355666,0.17660277163214216,4e-06,1,0.24651217381679466,1.5581372244098244,0,0.6153846153846154
266,23,3,0.942561732912558,0.22859338055888934,0.17044874995242393,4e-06,1,0.2421198259196808,1.4636668665322545,0,0.358974358974359
267,24,3,0.8600086488819356,0.4641392307710569,0.08974867038144893,4e-06,0,0.0,1.6518712485195852,1,0.38461538461538464
268,25,3,0.99,0.5123294773070263,0.17347676477145477,4e-06,1,0.3623231395574147,1.828826985643553,1,0.3333333333333333
269,26,3,0.9791485693629738,0.4827005812329892,0.266786211118485,4e-06,0,0.0,1.6750083725225116,1,0.6153846153846154
270,0,2,0.6780178951547966,0.06631694703187016,0.014476150043051833,4e-06,1,0.34210604187433336,1.2694065259280793,0,0.6923076923076923
271,1,2,0.7034602216768584,0.10981029606367945,0.12622422508626258,4e-06,1,0.2232683899827114,1.6687314804862305,0,0.48717948717948717
272,2,2,0.7228214814455394,0.11854572143995903,0.29655640360367463,4e-06,0,2.185427995708377e-06,1.2369030761103588,1,0.7435897435897436
273,3,2,0.7673434483815209,0.23407070486332857,0.08134618437363283,4e-06,0,7.474122132915378e-06,1.447923418733298,1,0.717948717948718
274,4,2,0.6835140248617213,0.195769094206752,0.14485306469350956,4e-06,0,6.370025784789639e-06,1.383489626517307,1,0.2564102564102564
275,5,2,0.7606717062855699,0.22609267032109928,0.25905912227557815,4e-06,0,9.329902869735836e-07,1.435017202977492,1,0.41025641025641024
276,6,2,0.6748606107945284,0.5232348411159612,0.04884385214469763,4e-06,1,0.2237442697019898,1.8746555020201843,1,0.48717948717948717
277,7,2,0.7399734532989796,0.5029224023887334,0.17387334029232698,4e-06,0,8.087743814823133e-06,1.803012383633941,1,0.6153846153846154
278,8,2,0.6980176464979366,0.49653503362103196,0.2249182865546264,4e-06,0,9.55423861199136e-06,1.7952735470147605,1,0.5384615384615384
279,9,2,0.8737421877962226,0.14610896961752934,0.0934803440370891,4e-06,0,0.0,1.291084945096613,1,0.41025641025641024
280,10,2,0.8649220927373671,0.08129197932225363,0.15070065948343667,4e-06,1,0.26903420829294117,1.3352486252262112,0,0.6153846153846154
281,11,2,0.8645479260137184,0.09345912615686734,0.2858085571556913,4e-06,0,0.0,1.1869024268774222,1,0.717948717948718
282,12,2,0.7694358962053884,0.2738751596565932,0.051814053443521045,4e-06,0,0.0,1.5086959534833682,1,0.5128205128205128
283,13,2,0.8490706515659854,0.31010528231204026,0.1747259885938759,4e-06,1,0.26901385233823455,1.8612055958644587,0,0.8461538461538461
284,14,2,0.8324378435958024,0.23816281444391818,0.18612406332399947,4e-06,0,3.5172432778807374e-06,1.4544404698309694,1,0.5641025641025641
285,15,2,0.7869752269131753,0.48015749323079554,0.015276061032997341,4e-06,0,0.0,1.7753856668809869,1,0.358974358974359
286,16,2,0.852139265072876,0.4374679353503458,0.1684281131507119,4e-06,0,0.0,1.7231853157270227,1,0.5128205128205128
287,17,2,0.7507716596006183,0.4701074412199283,0.2869870580230809,4e-06,0,0.0,1.76315055523679,1,0.1794871794871795
288,18,2,0.9360990635122591,0.06459997664598224,0.0741371090475451,4e-06,0,7.379016007193813e-07,1.1292003699522364,1,0.6923076923076923
289,19,2,0.9726184167667636,0.15508677519190062,0.1439117416897389,4e-06,0,0.0,1.3083980304802711,1,0.5897435897435898
290,20,2,0.8905977808349025,0.1357124068988123,0.22718473455785906,4e-06,0,0.0,1.2707964563155318,1,0.48717948717948717
291,21,2,0.887484626186406,0.2568631008678681,0.07902398818775033,4e-06,0,0.0,1.483404332926594,1,0.46153846153846156
292,22,2,0.8864440974328509,0.24628572117011022,0.1722608670893847,4e-06,1,0.26409452924046173,1.3671831310053804,0,0.6153846153846154
293,23,2,0.9850617441632608,0.2581028630259186,0.2623591474638026,4e-06,0,0.0,1.4852807246373425,1,0.38461538461538464
294,24,2,0.9687421111402481,0.5197366403129954,0.13132236581654977,4e-06,0,4.690972387215311e-06,1.823348647737942,1,0.38461538461538464
295,25,2,0.9671118559298852,0.5131697308816668,0.13419853824161376,4e-06,0,5.934155302640598e-06,1.8154118698695834,1,0.358974358974359
